arrond;capacity;avail. bike
75101;768;362
75102;660;285
75103;389;306
75104;634;460
75105;1203;388
75106;1032;367
75107;1010;378
75108;1481;180
75109;1172;445
75110;1583;681
75111;1972;1190
75112;2726;1327
75113;2320;675
75114;1783;290
75115;3342;1898
75116;2205;594
75117;2176;663
75118;1894;690
75119;1812;491
75120;1909;451
92004;180;132
92007;141;27
92009;84;42
92012;880;366
92014;55;7
92020;148;40
92022;62;32
92023;74;25
92024;400;198
92025;120;92
92026;193;76
92032;122;44
92035;128;33
92036;126;68
92040;495;249
92044;359;144
92046;238;70
92048;107;45
92049;283;56
92050;222;105
92051;378;96
92062;58;24
92063;195;76
92064;79;8
92071;90;30
92072;118;9
92073;264;31
92075;258;73
92077;24;3
93001;404;137
93006;208;40
93008;19;6
93045;233;25
93048;792;164
93053;58;28
93055;563;126
93061;42;11
93063;67;27
93064;124;60
93066;516;180
93070;269;147
94002;122;74
94003;120;30
94016;112;51
94017;121;74
94018;248;89
94022;79;32
94033;349;126
94037;119;66
94041;579;319
94042;124;65
94043;150;56
94046;180;101
94052;131;37
94067;119;44
94069;44;31
94076;254;52
94080;278;52
94081;482;217
95018;95;74
