arrond;capacity;avail. bike
75101;768;528
75102;660;398
75103;389;304
75104;634;408
75105;1203;702
75106;1032;712
75107;1010;669
75108;1481;956
75109;1172;505
75110;1583;448
75111;1972;767
75112;2726;1469
75113;2320;970
75114;1783;245
75115;3342;1675
75116;2205;831
75117;2176;566
75118;1894;311
75119;1812;234
75120;1909;189
92004;180;90
92007;141;13
92009;84;30
92012;880;398
92014;55;17
92020;148;47
92022;62;32
92023;74;16
92024;400;228
92025;120;88
92026;193;57
92032;122;39
92035;128;22
92036;126;80
92040;495;326
92044;359;205
92046;238;44
92048;107;34
92049;283;49
92050;222;119
92051;378;168
92062;58;32
92063;195;83
92064;79;24
92071;90;22
92072;118;3
92073;264;26
92075;258;21
92077;24;2
93001;404;126
93006;208;28
93008;19;12
93045;233;2
93048;792;104
93053;58;28
93055;563;89
93061;42;0
93063;67;21
93064;124;51
93066;516;296
93070;269;141
94002;122;49
94003;120;22
94016;112;64
94017;121;71
94018;248;50
94022;79;35
94033;349;56
94037;119;41
94041;579;224
94042;124;72
94043;150;32
94046;180;99
94052;131;44
94067;119;27
94069;44;23
94076;254;22
94080;278;147
94081;482;181
95018;95;75
