arrond;capacity;avail. bike
75101;768;520
75102;660;425
75103;389;306
75104;634;396
75105;1203;766
75106;1032;742
75107;1010;684
75108;1481;990
75109;1172;494
75110;1583;433
75111;1972;692
75112;2726;1448
75113;2320;1003
75114;1783;164
75115;3342;1649
75116;2205;843
75117;2176;580
75118;1894;310
75119;1812;210
75120;1909;112
92004;180;86
92007;141;16
92009;84;27
92012;880;400
92014;55;14
92020;148;43
92022;62;31
92023;74;17
92024;400;220
92025;120;90
92026;193;53
92032;122;35
92035;128;22
92036;126;88
92040;495;312
92044;359;221
92046;238;38
92048;107;33
92049;283;43
92050;222;119
92051;378;185
92062;58;33
92063;195;83
92064;79;21
92071;90;23
92072;118;2
92073;264;21
92075;258;29
92077;24;2
93001;404;131
93006;208;20
93008;19;13
93045;233;6
93048;792;99
93053;58;28
93055;563;91
93061;42;0
93063;67;16
93064;124;49
93066;516;302
93070;269;127
94002;122;56
94003;120;28
94016;112;62
94017;121;71
94018;248;59
94022;79;33
94033;349;57
94037;119;41
94041;579;219
94042;124;76
94043;150;30
94046;180;98
94052;131;42
94067;119;33
94069;44;20
94076;254;30
94080;278;136
94081;482;178
95018;95;73
