arrond;capacity;avail. bike
75101;768;534
75102;660;422
75103;389;298
75104;634;384
75105;1203;763
75106;1032;739
75107;1010;696
75108;1481;995
75109;1172;475
75110;1583;448
75111;1972;687
75112;2726;1444
75113;2320;980
75114;1783;152
75115;3342;1653
75116;2205;846
75117;2176;571
75118;1894;304
75119;1812;236
75120;1909;118
92004;180;85
92007;141;15
92009;84;28
92012;880;394
92014;55;15
92020;148;43
92022;62;31
92023;74;18
92024;400;212
92025;120;90
92026;193;51
92032;122;35
92035;128;21
92036;126;87
92040;495;310
92044;359;220
92046;238;43
92048;107;33
92049;283;45
92050;222;121
92051;378;181
92062;58;33
92063;195;81
92064;79;23
92071;90;22
92072;118;2
92073;264;22
92075;258;24
92077;24;2
93001;404;132
93006;208;18
93008;19;13
93045;233;7
93048;792;101
93053;58;28
93055;563;94
93061;42;0
93063;67;16
93064;124;48
93066;516;297
93070;269;130
94002;122;55
94003;120;27
94016;112;62
94017;121;70
94018;248;61
94022;79;33
94033;349;57
94037;119;40
94041;579;213
94042;124;77
94043;150;28
94046;180;99
94052;131;40
94067;119;30
94069;44;21
94076;254;30
94080;278;142
94081;482;172
95018;95;73
