arrond;capacity;avail. bike
75101;768;521
75102;660;391
75103;389;293
75104;634;405
75105;1203;670
75106;1032;673
75107;1010;633
75108;1481;920
75109;1172;497
75110;1583;417
75111;1972;762
75112;2726;1455
75113;2320;942
75114;1783;224
75115;3342;1646
75116;2205;820
75117;2176;553
75118;1894;285
75119;1812;273
75120;1909;225
92004;180;92
92007;141;15
92009;84;31
92012;880;392
92014;55;18
92020;148;43
92022;62;32
92023;74;18
92024;400;226
92025;120;89
92026;193;57
92032;122;38
92035;128;25
92036;126;78
92040;495;323
92044;359;195
92046;238;44
92048;107;34
92049;283;44
92050;222;115
92051;378;166
92062;58;34
92063;195;80
92064;79;27
92071;90;23
92072;118;4
92073;264;28
92075;258;20
92077;24;2
93001;404;119
93006;208;20
93008;19;12
93045;233;2
93048;792;114
93053;58;28
93055;563;87
93061;42;2
93063;67;25
93064;124;52
93066;516;287
93070;269;141
94002;122;53
94003;120;19
94016;112;59
94017;121;71
94018;248;52
94022;79;36
94033;349;61
94037;119;45
94041;579;228
94042;124;71
94043;150;30
94046;180;100
94052;131;39
94067;119;32
94069;44;21
94076;254;25
94080;278;136
94081;482;180
95018;95;76
