arrond;capacity;avail. bike
75101;768;150
75102;660;133
75103;389;216
75104;634;331
75105;1203;377
75106;1032;303
75107;1010;402
75108;1481;226
75109;1172;252
75110;1583;545
75111;1972;1066
75112;2726;1487
75113;2320;856
75114;1783;356
75115;3342;1985
75116;2205;639
75117;2176;686
75118;1894;726
75119;1812;456
75120;1909;387
92004;180;127
92007;141;25
92009;84;41
92012;880;387
92014;55;11
92020;148;39
92022;62;30
92023;74;25
92024;400;252
92025;120;96
92026;193;62
92032;122;46
92035;128;35
92036;126;88
92040;495;278
92044;359;150
92046;238;67
92048;107;50
92049;283;104
92050;222;104
92051;378;104
92062;58;23
92063;195;76
92064;79;17
92071;90;30
92072;118;7
92073;264;30
92075;258;72
92077;24;3
93001;404;171
93006;208;38
93008;19;11
93045;233;17
93048;792;168
93053;58;31
93055;563;149
93061;42;9
93063;67;26
93064;124;61
93066;516;246
93070;269;159
94002;122;62
94003;120;29
94016;112;65
94017;121;72
94018;248;103
94022;79;32
94033;349;107
94037;119;67
94041;579;283
94042;124;66
94043;150;63
94046;180;101
94052;131;54
94067;119;34
94069;44;33
94076;254;39
94080;278;104
94081;482;201
95018;95;74
