arrond;capacity;avail. bike
75101;768;525
75102;660;396
75103;389;301
75104;634;406
75105;1203;695
75106;1032;711
75107;1010;670
75108;1481;951
75109;1172;505
75110;1583;446
75111;1972;757
75112;2726;1462
75113;2320;949
75114;1783;235
75115;3342;1666
75116;2205;837
75117;2176;564
75118;1894;296
75119;1812;227
75120;1909;185
92004;180;90
92007;141;13
92009;84;30
92012;880;398
92014;55;17
92020;148;47
92022;62;31
92023;74;15
92024;400;229
92025;120;88
92026;193;58
92032;122;38
92035;128;23
92036;126;80
92040;495;323
92044;359;201
92046;238;44
92048;107;34
92049;283;49
92050;222;119
92051;378;168
92062;58;32
92063;195;83
92064;79;24
92071;90;22
92072;118;3
92073;264;25
92075;258;20
92077;24;2
93001;404;126
93006;208;29
93008;19;13
93045;233;2
93048;792;103
93053;58;28
93055;563;91
93061;42;0
93063;67;22
93064;124;52
93066;516;294
93070;269;141
94002;122;50
94003;120;22
94016;112;64
94017;121;71
94018;248;52
94022;79;35
94033;349;57
94037;119;41
94041;579;222
94042;124;72
94043;150;32
94046;180;99
94052;131;44
94067;119;27
94069;44;22
94076;254;22
94080;278;145
94081;482;181
95018;95;75
