arrond;capacity;avail. bike
75101;768;431
75102;660;314
75103;389;281
75104;634;419
75105;1203;503
75106;1032;491
75107;1010;452
75108;1481;495
75109;1172;448
75110;1583;482
75111;1972;906
75112;2726;1557
75113;2320;802
75114;1783;263
75115;3342;1694
75116;2205;712
75117;2176;537
75118;1894;373
75119;1812;362
75120;1909;262
92004;180;107
92007;141;20
92009;84;33
92012;880;379
92014;55;16
92020;148;39
92022;62;32
92023;74;12
92024;400;207
92025;120;97
92026;193;60
92032;122;37
92035;128;34
92036;126;79
92040;495;305
92044;359;146
92046;238;52
92048;107;43
92049;283;27
92050;222;100
92051;378;123
92062;58;32
92063;195;82
92064;79;20
92071;90;25
92072;118;6
92073;264;20
92075;258;36
92077;24;2
93001;404;93
93006;208;14
93008;19;14
93045;233;8
93048;792;125
93053;58;27
93055;563;82
93061;42;4
93063;67;23
93064;124;54
93066;516;235
93070;269;148
94002;122;58
94003;120;18
94016;112;51
94017;121;71
94018;248;70
94022;79;36
94033;349;78
94037;119;59
94041;579;225
94042;124;69
94043;150;21
94046;180;96
94052;131;40
94067;119;29
94069;44;23
94076;254;26
94080;278;46
94081;482;204
95018;95;74
