arrond;capacity;avail. bike
75101;768;454
75102;660;347
75103;389;321
75104;634;514
75105;1203;371
75106;1032;420
75107;1010;407
75108;1481;224
75109;1172;473
75110;1583;649
75111;1972;1082
75112;2726;1335
75113;2320;623
75114;1783;322
75115;3342;1793
75116;2205;567
75117;2176;599
75118;1894;601
75119;1812;448
75120;1909;383
92004;180;125
92007;141;25
92009;84;37
92012;880;350
92014;55;10
92020;148;39
92022;62;32
92023;74;20
92024;400;166
92025;120;93
92026;193;70
92032;122;43
92035;128;35
92036;126;61
92040;495;239
92044;359;153
92046;238;58
92048;107;45
92049;283;46
92050;222;104
92051;378;104
92062;58;19
92063;195;77
92064;79;7
92071;90;27
92072;118;7
92073;264;27
92075;258;62
92077;24;2
93001;404;130
93006;208;36
93008;19;8
93045;233;19
93048;792;135
93053;58;27
93055;563;116
93061;42;9
93063;67;25
93064;124;60
93066;516;164
93070;269;149
94002;122;68
94003;120;27
94016;112;53
94017;121;74
94018;248;81
94022;79;32
94033;349;116
94037;119;56
94041;579;286
94042;124;65
94043;150;51
94046;180;97
94052;131;33
94067;119;34
94069;44;29
94076;254;31
94080;278;34
94081;482;212
95018;95;73
