arrond;capacity;avail. bike
75101;768;184
75102;660;180
75103;389;262
75104;634;365
75105;1203;355
75106;1032;280
75107;1010;397
75108;1481;141
75109;1172;293
75110;1583;639
75111;1972;1233
75112;2726;1380
75113;2320;706
75114;1783;368
75115;3342;2014
75116;2205;630
75117;2176;755
75118;1894;844
75119;1812;545
75120;1909;557
92004;180;138
92007;141;33
92009;84;46
92012;880;390
92014;55;8
92020;148;40
92022;62;34
92023;74;24
92024;400;241
92025;120;90
92026;193;75
92032;122;50
92035;128;37
92036;126;76
92040;495;271
92044;359;150
92046;238;87
92048;107;51
92049;283;105
92050;222;104
92051;378;98
92062;58;28
92063;195;77
92064;79;10
92071;90;31
92072;118;9
92073;264;34
92075;258;78
92077;24;5
93001;404;166
93006;208;45
93008;19;6
93045;233;25
93048;792;202
93053;58;29
93055;563;134
93061;42;15
93063;67;36
93064;124;65
93066;516;191
93070;269;152
94002;122;78
94003;120;38
94016;112;59
94017;121;76
94018;248;106
94022;79;32
94033;349;137
94037;119;75
94041;579;377
94042;124;68
94043;150;73
94046;180;105
94052;131;44
94067;119;47
94069;44;39
94076;254;53
94080;278;45
94081;482;237
95018;95;75
