arrond;capacity;avail. bike
75101;768;611
75102;660;566
75103;389;260
75104;634;554
75105;1203;719
75106;1032;678
75107;1010;759
75108;1481;1005
75109;1172;601
75110;1583;293
75111;1972;569
75112;2726;1167
75113;2320;907
75114;1783;159
75115;3342;1423
75116;2205;693
75117;2176;419
75118;1894;222
75119;1812;189
75120;1909;97
92004;180;75
92007;141;10
92009;84;34
92012;880;381
92014;55;13
92020;148;51
92022;62;27
92023;74;16
92024;400;172
92025;120;82
92026;193;54
92032;122;38
92035;128;31
92036;126;64
92040;495;324
92044;359;237
92046;238;50
92048;107;35
92049;283;60
92050;222;120
92051;378;177
92062;58;35
92063;195;81
92064;79;22
92071;90;23
92072;118;9
92073;264;24
92075;258;43
92077;24;2
93001;404;170
93006;208;8
93008;19;11
93045;233;3
93048;792;95
93053;58;25
93055;563;86
93061;42;7
93063;67;16
93064;124;57
93066;516;312
93070;269;144
94002;122;51
94003;120;34
94016;112;50
94017;121;72
94018;248;61
94022;79;35
94033;349;32
94037;119;33
94041;579;219
94042;124;70
94043;150;18
94046;180;93
94052;131;32
94067;119;21
94069;44;9
94076;254;14
94080;278;105
94081;482;154
95018;95;71
