arrond;capacity;avail. bike
75101;768;474
75102;660;419
75103;389;272
75104;634;361
75105;1203;718
75106;1032;712
75107;1010;709
75108;1481;968
75109;1172;454
75110;1583;472
75111;1972;686
75112;2726;1488
75113;2320;998
75114;1783;125
75115;3342;1685
75116;2205;830
75117;2176;589
75118;1894;278
75119;1812;281
75120;1909;117
92004;180;88
92007;141;21
92009;84;32
92012;880;418
92014;55;15
92020;148;35
92022;62;30
92023;74;19
92024;400;227
92025;120;88
92026;193;49
92032;122;35
92035;128;21
92036;126;91
92040;495;316
92044;359;219
92046;238;37
92048;107;38
92049;283;52
92050;222;116
92051;378;169
92062;58;30
92063;195;78
92064;79;26
92071;90;22
92072;118;2
92073;264;22
92075;258;36
92077;24;1
93001;404;149
93006;208;14
93008;19;15
93045;233;7
93048;792;101
93053;58;30
93055;563;83
93061;42;2
93063;67;17
93064;124;53
93066;516;297
93070;269;136
94002;122;55
94003;120;27
94016;112;59
94017;121;73
94018;248;63
94022;79;35
94033;349;60
94037;119;43
94041;579;237
94042;124;75
94043;150;28
94046;180;96
94052;131;48
94067;119;36
94069;44;26
94076;254;37
94080;278;133
94081;482;180
95018;95;73
