arrond;capacity;avail. bike
75101;768;522
75102;660;394
75103;389;293
75104;634;409
75105;1203;663
75106;1032;669
75107;1010;652
75108;1481;926
75109;1172;512
75110;1583;421
75111;1972;795
75112;2726;1475
75113;2320;955
75114;1783;250
75115;3342;1649
75116;2205;831
75117;2176;561
75118;1894;317
75119;1812;298
75120;1909;229
92004;180;95
92007;141;17
92009;84;31
92012;880;395
92014;55;19
92020;148;43
92022;62;32
92023;74;18
92024;400;231
92025;120;90
92026;193;58
92032;122;39
92035;128;27
92036;126;78
92040;495;327
92044;359;188
92046;238;49
92048;107;35
92049;283;53
92050;222;116
92051;378;167
92062;58;34
92063;195;81
92064;79;30
92071;90;22
92072;118;4
92073;264;26
92075;258;25
92077;24;2
93001;404;120
93006;208;21
93008;19;12
93045;233;2
93048;792;121
93053;58;28
93055;563;82
93061;42;3
93063;67;23
93064;124;54
93066;516;283
93070;269;143
94002;122;53
94003;120;21
94016;112;58
94017;121;71
94018;248;53
94022;79;36
94033;349;65
94037;119;56
94041;579;236
94042;124;71
94043;150;31
94046;180;100
94052;131;41
94067;119;37
94069;44;21
94076;254;18
94080;278;127
94081;482;187
95018;95;76
