arrond;capacity;avail. bike
75101;768;460
75102;660;381
75103;389;309
75104;634;459
75105;1203;582
75106;1032;516
75107;1010;443
75108;1481;414
75109;1172;451
75110;1583;590
75111;1972;1138
75112;2726;1499
75113;2320;876
75114;1783;286
75115;3342;1818
75116;2205;680
75117;2176;594
75118;1894;561
75119;1812;344
75120;1909;378
92004;180;117
92007;141;25
92009;84;34
92012;880;383
92014;55;15
92020;148;35
92022;62;31
92023;74;14
92024;400;213
92025;120;98
92026;193;63
92032;122;37
92035;128;27
92036;126;82
92040;495;305
92044;359;139
92046;238;44
92048;107;47
92049;283;25
92050;222;104
92051;378;133
92062;58;34
92063;195;79
92064;79;16
92071;90;27
92072;118;12
92073;264;26
92075;258;24
92077;24;2
93001;404;107
93006;208;29
93008;19;13
93045;233;9
93048;792;132
93053;58;27
93055;563;85
93061;42;6
93063;67;19
93064;124;56
93066;516;232
93070;269;153
94002;122;61
94003;120;19
94016;112;50
94017;121;74
94018;248;69
94022;79;33
94033;349;94
94037;119;74
94041;579;256
94042;124;68
94043;150;23
94046;180;99
94052;131;42
94067;119;27
94069;44;21
94076;254;46
94080;278;55
94081;482;208
95018;95;73
