arrond;capacity;avail. bike
75101;768;344
75102;660;285
75103;389;238
75104;634;385
75105;1203;477
75106;1032;441
75107;1010;490
75108;1481;367
75109;1172;368
75110;1583;601
75111;1972;1160
75112;2726;1398
75113;2320;887
75114;1783;291
75115;3342;1830
75116;2205;720
75117;2176;644
75118;1894;605
75119;1812;444
75120;1909;425
92004;180;127
92007;141;27
92009;84;25
92012;880;401
92014;55;21
92020;148;30
92022;62;33
92023;74;14
92024;400;242
92025;120;96
92026;193;58
92032;122;35
92035;128;33
92036;126;83
92040;495;313
92044;359;138
92046;238;63
92048;107;46
92049;283;47
92050;222;101
92051;378;134
92062;58;33
92063;195;80
92064;79;18
92071;90;29
92072;118;10
92073;264;31
92075;258;53
92077;24;2
93001;404;135
93006;208;24
93008;19;13
93045;233;20
93048;792;166
93053;58;25
93055;563;98
93061;42;10
93063;67;25
93064;124;60
93066;516;237
93070;269;144
94002;122;74
94003;120;33
94016;112;55
94017;121;74
94018;248;78
94022;79;33
94033;349;106
94037;119;76
94041;579;296
94042;124;65
94043;150;26
94046;180;101
94052;131;46
94067;119;37
94069;44;26
94076;254;47
94080;278;47
94081;482;220
95018;95;75
