arrond;capacity;avail. bike
75101;768;512
75102;660;391
75103;389;301
75104;634;399
75105;1203;687
75106;1032;713
75107;1010;674
75108;1481;947
75109;1172;503
75110;1583;441
75111;1972;751
75112;2726;1461
75113;2320;943
75114;1783;223
75115;3342;1658
75116;2205;842
75117;2176;568
75118;1894;290
75119;1812;223
75120;1909;178
92004;180;87
92007;141;13
92009;84;30
92012;880;399
92014;55;17
92020;148;47
92022;62;31
92023;74;15
92024;400;232
92025;120;88
92026;193;57
92032;122;38
92035;128;23
92036;126;80
92040;495;320
92044;359;199
92046;238;45
92048;107;34
92049;283;48
92050;222;120
92051;378;171
92062;58;31
92063;195;83
92064;79;24
92071;90;23
92072;118;3
92073;264;25
92075;258;23
92077;24;2
93001;404;123
93006;208;27
93008;19;14
93045;233;2
93048;792;105
93053;58;28
93055;563;88
93061;42;0
93063;67;22
93064;124;52
93066;516;292
93070;269;141
94002;122;51
94003;120;21
94016;112;64
94017;121;71
94018;248;51
94022;79;35
94033;349;56
94037;119;41
94041;579;221
94042;124;71
94043;150;30
94046;180;98
94052;131;43
94067;119;23
94069;44;22
94076;254;22
94080;278;142
94081;482;177
95018;95;75
