arrond;capacity;avail. bike
75101;768;402
75102;660;314
75103;389;325
75104;634;497
75105;1203;417
75106;1032;389
75107;1010;380
75108;1481;189
75109;1172;477
75110;1583;666
75111;1972;1154
75112;2726;1337
75113;2320;648
75114;1783;321
75115;3342;1860
75116;2205;587
75117;2176;629
75118;1894;664
75119;1812;482
75120;1909;452
92004;180;128
92007;141;26
92009;84;38
92012;880;364
92014;55;10
92020;148;38
92022;62;32
92023;74;24
92024;400;184
92025;120;93
92026;193;72
92032;122;40
92035;128;34
92036;126;65
92040;495;242
92044;359;155
92046;238;63
92048;107;47
92049;283;52
92050;222;104
92051;378;98
92062;58;22
92063;195;75
92064;79;8
92071;90;28
92072;118;9
92073;264;31
92075;258;76
92077;24;3
93001;404;131
93006;208;38
93008;19;7
93045;233;24
93048;792;151
93053;58;28
93055;563;122
93061;42;11
93063;67;26
93064;124;61
93066;516;174
93070;269;146
94002;122;67
94003;120;26
94016;112;52
94017;121;74
94018;248;87
94022;79;31
94033;349;129
94037;119;64
94041;579;307
94042;124;64
94043;150;54
94046;180;103
94052;131;39
94067;119;41
94069;44;26
94076;254;40
94080;278;40
94081;482;218
95018;95;74
