arrond;capacity;avail. bike
75101;768;419
75102;660;387
75103;389;260
75104;634;373
75105;1203;651
75106;1032;647
75107;1010;672
75108;1481;927
75109;1172;466
75110;1583;460
75111;1972;701
75112;2726;1474
75113;2320;978
75114;1783;131
75115;3342;1698
75116;2205;810
75117;2176;590
75118;1894;294
75119;1812;278
75120;1909;136
92004;180;93
92007;141;19
92009;84;31
92012;880;405
92014;55;16
92020;148;38
92022;62;30
92023;74;19
92024;400;230
92025;120;90
92026;193;50
92032;122;37
92035;128;23
92036;126;90
92040;495;316
92044;359;221
92046;238;39
92048;107;36
92049;283;58
92050;222;113
92051;378;167
92062;58;32
92063;195;75
92064;79;27
92071;90;20
92072;118;4
92073;264;23
92075;258;40
92077;24;3
93001;404;162
93006;208;21
93008;19;15
93045;233;5
93048;792;102
93053;58;30
93055;563;97
93061;42;0
93063;67;19
93064;124;53
93066;516;300
93070;269;138
94002;122;59
94003;120;33
94016;112;61
94017;121;73
94018;248;70
94022;79;34
94033;349;57
94037;119;50
94041;579;227
94042;124;74
94043;150;34
94046;180;95
94052;131;48
94067;119;30
94069;44;27
94076;254;40
94080;278;155
94081;482;190
95018;95;72
