arrond;capacity;avail. bike
75101;768;539
75102;660;415
75103;389;289
75104;634;368
75105;1203;740
75106;1032;730
75107;1010;691
75108;1481;984
75109;1172;478
75110;1583;448
75111;1972;689
75112;2726;1453
75113;2320;957
75114;1783;142
75115;3342;1661
75116;2205;849
75117;2176;557
75118;1894;314
75119;1812;246
75120;1909;122
92004;180;83
92007;141;19
92009;84;30
92012;880;385
92014;55;14
92020;148;42
92022;62;31
92023;74;18
92024;400;213
92025;120;89
92026;193;52
92032;122;35
92035;128;23
92036;126;87
92040;495;308
92044;359;220
92046;238;36
92048;107;32
92049;283;46
92050;222;119
92051;378;174
92062;58;33
92063;195;80
92064;79;24
92071;90;21
92072;118;2
92073;264;21
92075;258;19
92077;24;1
93001;404;128
93006;208;14
93008;19;13
93045;233;8
93048;792;111
93053;58;28
93055;563;93
93061;42;0
93063;67;16
93064;124;48
93066;516;296
93070;269;135
94002;122;56
94003;120;28
94016;112;62
94017;121;70
94018;248;63
94022;79;33
94033;349;56
94037;119;42
94041;579;217
94042;124;77
94043;150;31
94046;180;94
94052;131;41
94067;119;29
94069;44;19
94076;254;29
94080;278;139
94081;482;171
95018;95;73
