arrond;capacity;avail. bike
75101;768;461
75102;660;381
75103;389;307
75104;634;463
75105;1203;582
75106;1032;519
75107;1010;448
75108;1481;439
75109;1172;461
75110;1583;592
75111;1972;1128
75112;2726;1515
75113;2320;876
75114;1783;282
75115;3342;1835
75116;2205;698
75117;2176;579
75118;1894;575
75119;1812;349
75120;1909;348
92004;180;116
92007;141;24
92009;84;33
92012;880;385
92014;55;15
92020;148;34
92022;62;31
92023;74;14
92024;400;210
92025;120;98
92026;193;63
92032;122;38
92035;128;27
92036;126;80
92040;495;305
92044;359;142
92046;238;46
92048;107;46
92049;283;26
92050;222;105
92051;378;130
92062;58;32
92063;195;80
92064;79;16
92071;90;27
92072;118;10
92073;264;25
92075;258;24
92077;24;2
93001;404;107
93006;208;22
93008;19;13
93045;233;10
93048;792;137
93053;58;27
93055;563;86
93061;42;5
93063;67;21
93064;124;56
93066;516;235
93070;269;152
94002;122;61
94003;120;19
94016;112;52
94017;121;74
94018;248;66
94022;79;33
94033;349;90
94037;119;72
94041;579;244
94042;124;68
94043;150;22
94046;180;98
94052;131;39
94067;119;25
94069;44;19
94076;254;45
94080;278;57
94081;482;210
95018;95;73
