arrond;capacity;avail. bike
75101;768;510
75102;660;420
75103;389;297
75104;634;395
75105;1203;744
75106;1032;729
75107;1010;684
75108;1481;978
75109;1172;500
75110;1583;439
75111;1972;711
75112;2726;1456
75113;2320;962
75114;1783;173
75115;3342;1640
75116;2205;846
75117;2176;557
75118;1894;304
75119;1812;215
75120;1909;128
92004;180;86
92007;141;13
92009;84;28
92012;880;414
92014;55;14
92020;148;43
92022;62;31
92023;74;17
92024;400;223
92025;120;90
92026;193;56
92032;122;35
92035;128;23
92036;126;86
92040;495;316
92044;359;214
92046;238;36
92048;107;33
92049;283;46
92050;222;119
92051;378;169
92062;58;33
92063;195;83
92064;79;20
92071;90;21
92072;118;2
92073;264;25
92075;258;29
92077;24;2
93001;404;122
93006;208;22
93008;19;14
93045;233;6
93048;792;95
93053;58;27
93055;563;97
93061;42;1
93063;67;17
93064;124;49
93066;516;297
93070;269;127
94002;122;55
94003;120;24
94016;112;63
94017;121;72
94018;248;57
94022;79;33
94033;349;61
94037;119;44
94041;579;219
94042;124;75
94043;150;24
94046;180;99
94052;131;41
94067;119;26
94069;44;19
94076;254;28
94080;278;146
94081;482;181
95018;95;74
