arrond;capacity;avail. bike
75101;768;535
75102;660;419
75103;389;296
75104;634;380
75105;1203;756
75106;1032;740
75107;1010;692
75108;1481;992
75109;1172;475
75110;1583;453
75111;1972;688
75112;2726;1450
75113;2320;982
75114;1783;149
75115;3342;1662
75116;2205;848
75117;2176;571
75118;1894;314
75119;1812;242
75120;1909;119
92004;180;84
92007;141;15
92009;84;29
92012;880;395
92014;55;15
92020;148;43
92022;62;31
92023;74;18
92024;400;212
92025;120;90
92026;193;50
92032;122;35
92035;128;21
92036;126;87
92040;495;309
92044;359;220
92046;238;43
92048;107;33
92049;283;45
92050;222;120
92051;378;181
92062;58;33
92063;195;81
92064;79;24
92071;90;22
92072;118;2
92073;264;23
92075;258;24
92077;24;2
93001;404;129
93006;208;18
93008;19;13
93045;233;7
93048;792;104
93053;58;28
93055;563;93
93061;42;0
93063;67;16
93064;124;48
93066;516;296
93070;269;131
94002;122;55
94003;120;28
94016;112;62
94017;121;70
94018;248;62
94022;79;33
94033;349;57
94037;119;41
94041;579;215
94042;124;77
94043;150;28
94046;180;98
94052;131;40
94067;119;30
94069;44;21
94076;254;30
94080;278;142
94081;482;172
95018;95;73
