arrond;capacity;avail. bike
75101;768;334
75102;660;276
75103;389;237
75104;634;390
75105;1203;457
75106;1032;423
75107;1010;506
75108;1481;366
75109;1172;351
75110;1583;588
75111;1972;1153
75112;2726;1426
75113;2320;902
75114;1783;306
75115;3342;1838
75116;2205;733
75117;2176;672
75118;1894;620
75119;1812;472
75120;1909;438
92004;180;125
92007;141;28
92009;84;25
92012;880;396
92014;55;20
92020;148;32
92022;62;33
92023;74;14
92024;400;240
92025;120;96
92026;193;59
92032;122;34
92035;128;32
92036;126;83
92040;495;314
92044;359;138
92046;238;64
92048;107;46
92049;283;52
92050;222;101
92051;378;133
92062;58;33
92063;195;80
92064;79;19
92071;90;30
92072;118;11
92073;264;32
92075;258;54
92077;24;2
93001;404;140
93006;208;29
93008;19;13
93045;233;22
93048;792;178
93053;58;25
93055;563;107
93061;42;11
93063;67;24
93064;124;60
93066;516;243
93070;269;147
94002;122;74
94003;120;33
94016;112;56
94017;121;74
94018;248;82
94022;79;33
94033;349;111
94037;119;80
94041;579;306
94042;124;66
94043;150;33
94046;180;104
94052;131;47
94067;119;41
94069;44;27
94076;254;51
94080;278;46
94081;482;223
95018;95;75
