arrond;capacity;avail. bike
75101;768;496
75102;660;413
75103;389;271
75104;634;381
75105;1203;716
75106;1032;729
75107;1010;716
75108;1481;982
75109;1172;478
75110;1583;452
75111;1972;644
75112;2726;1461
75113;2320;971
75114;1783;111
75115;3342;1659
75116;2205;836
75117;2176;549
75118;1894;274
75119;1812;275
75120;1909;117
92004;180;87
92007;141;21
92009;84;34
92012;880;417
92014;55;15
92020;148;36
92022;62;30
92023;74;18
92024;400;222
92025;120;88
92026;193;55
92032;122;36
92035;128;22
92036;126;88
92040;495;308
92044;359;209
92046;238;34
92048;107;37
92049;283;54
92050;222;115
92051;378;171
92062;58;32
92063;195;80
92064;79;26
92071;90;22
92072;118;2
92073;264;22
92075;258;29
92077;24;1
93001;404;155
93006;208;17
93008;19;15
93045;233;6
93048;792;98
93053;58;28
93055;563;85
93061;42;1
93063;67;14
93064;124;50
93066;516;286
93070;269;133
94002;122;57
94003;120;22
94016;112;60
94017;121;70
94018;248;57
94022;79;34
94033;349;58
94037;119;43
94041;579;231
94042;124;75
94043;150;28
94046;180;92
94052;131;49
94067;119;31
94069;44;23
94076;254;29
94080;278;144
94081;482;178
95018;95;73
