arrond;capacity;avail. bike
75101;768;307
75102;660;256
75103;389;221
75104;634;387
75105;1203;438
75106;1032;399
75107;1010;515
75108;1481;362
75109;1172;333
75110;1583;548
75111;1972;1163
75112;2726;1414
75113;2320;910
75114;1783;300
75115;3342;1872
75116;2205;741
75117;2176;663
75118;1894;642
75119;1812;485
75120;1909;450
92004;180;124
92007;141;30
92009;84;28
92012;880;406
92014;55;20
92020;148;32
92022;62;32
92023;74;15
92024;400;251
92025;120;99
92026;193;67
92032;122;34
92035;128;34
92036;126;87
92040;495;327
92044;359;146
92046;238;70
92048;107;52
92049;283;53
92050;222;101
92051;378;138
92062;58;34
92063;195;80
92064;79;19
92071;90;30
92072;118;13
92073;264;34
92075;258;55
92077;24;2
93001;404;146
93006;208;37
93008;19;13
93045;233;19
93048;792;186
93053;58;25
93055;563;121
93061;42;11
93063;67;30
93064;124;60
93066;516;248
93070;269;151
94002;122;74
94003;120;36
94016;112;56
94017;121;74
94018;248;80
94022;79;33
94033;349;119
94037;119;77
94041;579;312
94042;124;64
94043;150;35
94046;180;104
94052;131;47
94067;119;48
94069;44;28
94076;254;52
94080;278;47
94081;482;225
95018;95;75
