arrond;capacity;avail. bike
75101;768;395
75102;660;392
75103;389;268
75104;634;341
75105;1203;606
75106;1032;583
75107;1010;644
75108;1481;899
75109;1172;435
75110;1583;422
75111;1972;728
75112;2726;1465
75113;2320;944
75114;1783;139
75115;3342;1717
75116;2205;805
75117;2176;583
75118;1894;314
75119;1812;260
75120;1909;136
92004;180;91
92007;141;20
92009;84;32
92012;880;403
92014;55;16
92020;148;40
92022;62;30
92023;74;19
92024;400;237
92025;120;90
92026;193;49
92032;122;38
92035;128;25
92036;126;90
92040;495;309
92044;359;215
92046;238;37
92048;107;39
92049;283;62
92050;222;114
92051;378;170
92062;58;30
92063;195;77
92064;79;29
92071;90;20
92072;118;3
92073;264;26
92075;258;40
92077;24;3
93001;404;169
93006;208;18
93008;19;16
93045;233;6
93048;792;103
93053;58;30
93055;563;96
93061;42;2
93063;67;19
93064;124;53
93066;516;296
93070;269;140
94002;122;43
94003;120;33
94016;112;60
94017;121;73
94018;248;73
94022;79;34
94033;349;55
94037;119;52
94041;579;229
94042;124;74
94043;150;36
94046;180;99
94052;131;48
94067;119;30
94069;44;28
94076;254;36
94080;278;153
94081;482;195
95018;95;72
