arrond;capacity;avail. bike
75101;768;521
75102;660;387
75103;389;295
75104;634;399
75105;1203;667
75106;1032;673
75107;1010;639
75108;1481;920
75109;1172;495
75110;1583;421
75111;1972;773
75112;2726;1464
75113;2320;935
75114;1783;234
75115;3342;1637
75116;2205;818
75117;2176;557
75118;1894;287
75119;1812;283
75120;1909;227
92004;180;94
92007;141;15
92009;84;31
92012;880;401
92014;55;18
92020;148;43
92022;62;32
92023;74;18
92024;400;227
92025;120;89
92026;193;58
92032;122;39
92035;128;25
92036;126;79
92040;495;327
92044;359;189
92046;238;49
92048;107;34
92049;283;49
92050;222;116
92051;378;164
92062;58;34
92063;195;79
92064;79;29
92071;90;22
92072;118;4
92073;264;28
92075;258;22
92077;24;2
93001;404;121
93006;208;20
93008;19;12
93045;233;2
93048;792;115
93053;58;28
93055;563;83
93061;42;3
93063;67;23
93064;124;53
93066;516;288
93070;269;140
94002;122;53
94003;120;18
94016;112;59
94017;121;71
94018;248;54
94022;79;36
94033;349;62
94037;119;50
94041;579;225
94042;124;71
94043;150;33
94046;180;100
94052;131;40
94067;119;32
94069;44;21
94076;254;22
94080;278;130
94081;482;182
95018;95;76
