arrond;capacity;avail. bike
75101;768;119
75102;660;117
75103;389;196
75104;634;317
75105;1203;303
75106;1032;214
75107;1010;375
75108;1481;130
75109;1172;221
75110;1583;608
75111;1972;1183
75112;2726;1493
75113;2320;902
75114;1783;462
75115;3342;2129
75116;2205;644
75117;2176;779
75118;1894;958
75119;1812;628
75120;1909;578
92004;180;141
92007;141;34
92009;84;50
92012;880;415
92014;55;9
92020;148;48
92022;62;34
92023;74;28
92024;400;263
92025;120;94
92026;193;74
92032;122;48
92035;128;44
92036;126;88
92040;495;297
92044;359;172
92046;238;93
92048;107;53
92049;283;135
92050;222;104
92051;378;90
92062;58;33
92063;195;77
92064;79;15
92071;90;32
92072;118;9
92073;264;36
92075;258;80
92077;24;4
93001;404;184
93006;208;54
93008;19;8
93045;233;29
93048;792;215
93053;58;31
93055;563;153
93061;42;17
93063;67;43
93064;124;64
93066;516;237
93070;269;169
94002;122;62
94003;120;36
94016;112;67
94017;121;77
94018;248;118
94022;79;33
94033;349;144
94037;119;83
94041;579;329
94042;124;68
94043;150;78
94046;180;109
94052;131;48
94067;119;57
94069;44;38
94076;254;50
94080;278;60
94081;482;219
95018;95;76
