arrond;capacity;avail. bike
75101;768;451
75102;660;352
75103;389;299
75104;634;435
75105;1203;550
75106;1032;483
75107;1010;452
75108;1481;389
75109;1172;408
75110;1583;596
75111;1972;1133
75112;2726;1456
75113;2320;857
75114;1783;279
75115;3342;1807
75116;2205;699
75117;2176;580
75118;1894;565
75119;1812;345
75120;1909;417
92004;180;120
92007;141;26
92009;84;35
92012;880;382
92014;55;15
92020;148;33
92022;62;31
92023;74;14
92024;400;223
92025;120;97
92026;193;62
92032;122;37
92035;128;28
92036;126;83
92040;495;310
92044;359;143
92046;238;51
92048;107;47
92049;283;26
92050;222;104
92051;378;131
92062;58;34
92063;195;78
92064;79;16
92071;90;28
92072;118;11
92073;264;28
92075;258;30
92077;24;2
93001;404;112
93006;208;29
93008;19;13
93045;233;13
93048;792;136
93053;58;27
93055;563;90
93061;42;7
93063;67;20
93064;124;58
93066;516;234
93070;269;141
94002;122;66
94003;120;28
94016;112;52
94017;121;73
94018;248;68
94022;79;33
94033;349;93
94037;119;69
94041;579;257
94042;124;69
94043;150;24
94046;180;101
94052;131;44
94067;119;28
94069;44;21
94076;254;45
94080;278;48
94081;482;210
95018;95;73
