arrond;capacity;avail. bike
75101;768;519
75102;660;392
75103;389;291
75104;634;402
75105;1203;668
75106;1032;670
75107;1010;636
75108;1481;921
75109;1172;492
75110;1583;419
75111;1972;763
75112;2726;1453
75113;2320;934
75114;1783;223
75115;3342;1647
75116;2205;821
75117;2176;564
75118;1894;286
75119;1812;279
75120;1909;224
92004;180;92
92007;141;15
92009;84;30
92012;880;394
92014;55;18
92020;148;43
92022;62;32
92023;74;18
92024;400;225
92025;120;89
92026;193;57
92032;122;38
92035;128;24
92036;126;80
92040;495;321
92044;359;190
92046;238;45
92048;107;34
92049;283;45
92050;222;115
92051;378;165
92062;58;34
92063;195;80
92064;79;27
92071;90;23
92072;118;4
92073;264;28
92075;258;21
92077;24;2
93001;404;122
93006;208;20
93008;19;12
93045;233;2
93048;792;115
93053;58;28
93055;563;85
93061;42;2
93063;67;25
93064;124;53
93066;516;287
93070;269;138
94002;122;53
94003;120;19
94016;112;59
94017;121;71
94018;248;53
94022;79;36
94033;349;63
94037;119;45
94041;579;227
94042;124;71
94043;150;30
94046;180;100
94052;131;39
94067;119;32
94069;44;21
94076;254;22
94080;278;136
94081;482;179
95018;95;76
