arrond;capacity;avail. bike
75101;768;118
75102;660;121
75103;389;194
75104;634;317
75105;1203;303
75106;1032;222
75107;1010;362
75108;1481;148
75109;1172;224
75110;1583;573
75111;1972;1124
75112;2726;1477
75113;2320;831
75114;1783;408
75115;3342;2068
75116;2205;613
75117;2176;733
75118;1894;851
75119;1812;549
75120;1909;469
92004;180;135
92007;141;30
92009;84;46
92012;880;391
92014;55;11
92020;148;43
92022;62;34
92023;74;27
92024;400;251
92025;120;95
92026;193;68
92032;122;47
92035;128;41
92036;126;86
92040;495;291
92044;359;165
92046;238;86
92048;107;51
92049;283;120
92050;222;104
92051;378;82
92062;58;32
92063;195;76
92064;79;14
92071;90;32
92072;118;8
92073;264;33
92075;258;63
92077;24;4
93001;404;186
93006;208;48
93008;19;10
93045;233;28
93048;792;191
93053;58;30
93055;563;148
93061;42;12
93063;67;36
93064;124;62
93066;516;238
93070;269;171
94002;122;60
94003;120;33
94016;112;64
94017;121;76
94018;248;115
94022;79;33
94033;349;127
94037;119;74
94041;579;305
94042;124;67
94043;150;70
94046;180;100
94052;131;49
94067;119;55
94069;44;37
94076;254;46
94080;278;72
94081;482;201
95018;95;75
